object_name,path,object_size,object_type,parant_directory
File_manager,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,30796,directory,venv_1
data.csv,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,30,file,Seminar_8
data.json,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,149,file,Seminar_8
data.txt,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,128,file,Seminar_8
data1.json,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,20,file,Seminar_8
data2.json,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,110,file,Seminar_8
main.py,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,1890,file,Seminar_8
result.csv,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,0,file,Seminar_8
result.json,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,0,file,Seminar_8
result.pickle,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8,0,file,Seminar_8
__pycache__,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager,17993,directory,Seminar_8
create_file_json.py,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager,4634,file,File_manager
create_file_txt.py,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager,562,file,File_manager
csv_to_json.py,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager,1715,file,File_manager
directory_reference.py,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager,3486,file,File_manager
json_to_csv.py,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager,1480,file,File_manager
txt_to_json.py,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager,926,file,File_manager
create_file_json.cpython-311.pyc,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager\__pycache__,4281,file,__pycache__
create_file_txt.cpython-311.pyc,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager\__pycache__,1425,file,__pycache__
csv_to_json.cpython-311.pyc,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager\__pycache__,2965,file,__pycache__
directory_reference.cpython-311.pyc,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager\__pycache__,5387,file,__pycache__
json_to_csv.cpython-311.pyc,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager\__pycache__,2377,file,__pycache__
txt_to_json.cpython-311.pyc,D:\Учеба\Python\pythonProject\first\venv_1\Seminar_8\File_manager\__pycache__,1558,file,__pycache__
